Target,Representation,Model,Fold,N_train,N_test,Spearman,RMSE
AC_SINS,Global,Ridge,2,194,48,0.34848489987237613,10.08914835947542
AC_SINS,Global,Ridge,3,198,44,0.3972898543734951,8.593070840166781
AC_SINS,Global,Ridge,4,193,49,0.515410995868259,9.179614614529543
AC_SINS,Region,Ridge,0,189,53,0.44502947465976456,10.355330757454196
AC_SINS,Region,Ridge,1,194,48,0.0427875121872466,17.46713973391849
AC_SINS,Region,Ridge,2,194,48,0.17426960319315177,12.50513154352978
AC_SINS,Region,Ridge,3,198,44,0.24382358866489912,29.955032041424424
AC_SINS,Region,Ridge,4,193,49,0.3285923848014644,12.608142169845006
AC_SINS,Structure,Ridge,0,189,53,0.45484986717178083,7.168676058643024
AC_SINS,Structure,Ridge,1,194,48,0.2090504567416333,6.605106391735199
AC_SINS,Structure,Ridge,2,194,48,0.18480506689507492,9.800444773467552
AC_SINS,Structure,Ridge,3,198,44,0.10849937920612332,9.16353197670072
AC_SINS,Structure,Ridge,4,193,49,0.548096592118327,9.617770132682187
HIC,Embeddings,ElasticNet,0,189,53,0.3487992416518258,0.2766502718155375
HIC,Embeddings,ElasticNet,1,194,48,0.26904807392000507,0.266294687483975
HIC,Embeddings,ElasticNet,2,194,48,0.3480196696684646,0.26862471208284655
HIC,Embeddings,ElasticNet,3,198,44,0.3832951601357707,0.36586118814474033
HIC,Embeddings,ElasticNet,4,193,49,0.15439957184799338,0.42836988297841005
HIC,Global,ElasticNet,0,189,53,0.2893956940794891,0.29172437036834886
HIC,Global,ElasticNet,1,194,48,0.1929915058082361,0.2756963039564492
HIC,Global,ElasticNet,2,194,48,0.39635140997922275,0.2692011515616255
HIC,Global,ElasticNet,3,198,44,0.06054625644660298,0.3755189263963964
HIC,Global,ElasticNet,4,193,49,0.10924305463534495,0.43193121766115844
HIC,Region,ElasticNet,0,189,53,0.11594378769210303,0.2885926295146436
HIC,Region,ElasticNet,1,194,48,0.22529247513479037,0.2700980358241854
HIC,Region,ElasticNet,2,194,48,0.30225867114442917,0.27113891596588163
HIC,Region,ElasticNet,3,198,44,0.3328281989998362,0.3708015763776641
HIC,Region,ElasticNet,4,193,49,0.3176263498855779,0.4223165076828279
HIC,Structure,ElasticNet,0,189,53,0.539471321028613,0.2569026987066179
HIC,Structure,ElasticNet,1,194,48,0.2972694247119528,0.26949284888606795
HIC,Structure,ElasticNet,2,194,48,0.4038331205918939,0.25935728740403685
HIC,Structure,ElasticNet,3,198,44,0.4700616813066302,0.318426862521942
HIC,Structure,ElasticNet,4,193,49,0.5806566846101007,0.38226378512119175
HIC,Embeddings,Ridge,0,189,53,0.32343275731849264,0.38461395824307865
HIC,Embeddings,Ridge,1,194,48,0.42148693420397887,0.3274074129975552
HIC,Embeddings,Ridge,2,194,48,0.3132719959418161,0.39858477436849293
HIC,Embeddings,Ridge,3,198,44,0.4223436188917871,0.42209607405550054
HIC,Embeddings,Ridge,4,193,49,0.37467153208189535,0.42542587991863434
HIC,Global,Ridge,0,189,53,0.48281009608690695,0.30064980835602295
HIC,Global,Ridge,1,194,48,0.254879077291046,0.28279919031351863
HIC,Global,Ridge,2,194,48,0.622146239427603,0.2357226711004142
HIC,Global,Ridge,3,198,44,0.39696916915863567,0.3629045743179452
HIC,Global,Ridge,4,193,49,0.45115697762060725,0.39788274322722283
HIC,Region,Ridge,0,189,53,0.42643116906306,0.32872002112297183
HIC,Region,Ridge,1,194,48,0.4490649046542135,0.46462990558152234
HIC,Region,Ridge,2,194,48,0.4462361411864448,0.3788098752457512
HIC,Region,Ridge,3,198,44,0.47760353164398356,0.5344490089183999
HIC,Region,Ridge,4,193,49,0.44666683805595975,0.42265482146475253
HIC,Structure,Ridge,0,189,53,0.5751215152268109,0.24767869383383087
HIC,Structure,Ridge,1,194,48,0.28402367240557647,0.2802906209987865
HIC,Structure,Ridge,2,194,48,0.4124657457833581,0.26771602158005187
HIC,Structure,Ridge,3,198,44,0.560352431607094,0.2989453861990036
HIC,Structure,Ridge,4,193,49,0.5860652618129716,0.3614443597192943
