Representation,Feature,Fold,Coefficient
Region,vh_FR4_glycine,4,1.10349428845531
Region,vh_FR4_proline,4,-0.9187396572813384
Region,vl_FR1_glycine,4,-0.12086176037277095
Structure,surface_charge,0,2.6942882548569567
Structure,surface_hydrophobicity,0,0.7009955654908833
Structure,surface_aromaticity,0,0.7543887292118586
Structure,total_sasa,0,-0.25631331167544114
Structure,surface_polarity,0,-0.325078492683049
Structure,surface_charge,1,3.3921603561365448
Structure,surface_hydrophobicity,1,0.8653265052466327
Structure,surface_aromaticity,1,0.5333901164797004
Structure,total_sasa,1,0.373542881111006
Structure,surface_polarity,1,0.18026096138615058
Structure,surface_charge,2,3.3259301611385483
Structure,surface_hydrophobicity,2,1.4532222658764176
Structure,surface_aromaticity,2,0.3637267605330812
Structure,total_sasa,2,0.46069760084945816
Structure,surface_polarity,2,0.38489158087751035
Structure,surface_charge,3,3.277679412182094
Structure,surface_hydrophobicity,3,0.19487041474675348
Structure,surface_aromaticity,3,0.35455544525137095
Structure,total_sasa,3,-0.6928376457695591
Structure,surface_polarity,3,-0.2525137864740741
Structure,surface_charge,4,2.8622602849422534
Structure,surface_hydrophobicity,4,0.4800674894373774
Structure,surface_aromaticity,4,0.5559935182467856
Structure,total_sasa,4,-0.3166115469313245
Structure,surface_polarity,4,-0.08685639081911883
