Endpoint,Representation,Feature,Full-data coefficient,Cross-validation mean,Cross-validation SD,Cross-validation minimum,Cross-validation maximum,Folds with consistent sign,Sign consistency
HIC,Global,vl_cysteine,0.024029373828326962,0.022729615132103764,0.0315317023942713,-0.03203187176438267,0.04575229167555324,4,0.8
HIC,Region,vh_CDR2_hydrophobic,0.14772417830080092,0.15021596671693202,0.04664038308125479,0.09359536140962232,0.20020499053987284,5,1.0
HIC,Region,vl_CDR3_aromatic,0.12986993479170839,0.1338872381367593,0.044218746309452106,0.05863663199071331,0.17221908029288732,5,1.0
HIC,Region,vl_FR1_length,-0.09822208778158464,-0.08755723562207121,0.05364609254229221,-0.1431615878199014,-0.020689107620229952,5,1.0
HIC,Region,vh_CDR2_aromatic,0.08876676861702146,0.09282305107581432,0.010088222708160533,0.08491970592644024,0.10782550791342406,5,1.0
HIC,Region,vh_FR1_glycine,0.08860612658726716,0.07620569604738948,0.06784796701215398,-0.03406322617575775,0.1360609127042986,4,0.8
HIC,Region,vl_FR3_aromatic,0.08850799681244208,0.08182523352634855,0.025032641756176574,0.04776677204473744,0.11374116245288983,5,1.0
HIC,Region,vh_FR4_charge,-0.08752852470621424,-0.08274412803327957,0.02797845374539,-0.12557547991767729,-0.05148247238336252,5,1.0
HIC,Region,vh_CDR1_hydrophobic,0.08569820794639228,0.09097914804837537,0.016867147089149367,0.0756037286517984,0.11628417735362523,5,1.0
HIC,Region,vl_FR3_glycine,0.08234063669300476,0.0884631325857577,0.02725033731315155,0.06219126037210422,0.13437494059811578,5,1.0
HIC,Region,vh_CDR3_hydrophobic,0.08041157778970452,0.08569139623129769,0.01877295947241454,0.05608821863374235,0.10337469648453632,5,1.0
HIC,Region,vh_CDR3_aromatic,0.07963298618797332,0.07233578933419227,0.012741746667031238,0.05441543504101112,0.08587628996593646,5,1.0
HIC,Region,vh_CDR3_charge,-0.07744435827736176,-0.07847519650438667,0.016183804330077455,-0.08855372715231467,-0.04977415716554352,5,1.0
HIC,Region,vh_FR3_hydrophobic,0.07174194203452434,0.0804335910751063,0.01079987134476251,0.06700081067033165,0.09233318684125892,5,1.0
HIC,Region,vl_FR1_proline,0.07089638295827687,0.07254921948635004,0.03955798267684439,0.011167305803530059,0.11307740606779293,5,1.0
HIC,Region,vl_CDR2_glycine,0.06598778985199062,0.062048135711220684,0.003955430933023927,0.057145471054560915,0.06562279248204005,5,1.0
HIC,Structure,surface_hydrophobicity,0.13307666748003802,0.13275738926663114,0.022217247334406692,0.10672856272019009,0.16421201729949308,5,1.0
HIC,Structure,surface_aromaticity,0.0593732411995781,0.059843874540075045,0.009612146724248621,0.04917058701347934,0.07239377160188931,5,1.0
HIC,Structure,surface_charge,-0.03997811711549475,-0.03994339522372351,0.009181087427459688,-0.05355043358185185,-0.03237692765988054,5,1.0
